Site Building Name,Site Street No,Site Street 1,Site Street 2,Site Town,Site Postcode,MPAN Topline,Meter Number,Usage,Proposed Start Date,Energization Status,Annualised AQ
Ground Floor,39,Marlborough Road,,Castle Bromwich,B36 0EH,03801N12,1419053151004,4486,2/8/2027,E,
,,Limberline Road,,PORTSMOUTH,PO3 5JF,04044H22,2000014298350,10777,3/6/2027,E,
,,Rannoch Court,,,G67 4LS,03826D03,1800015483616,24757,29/4/2026,E,
Grosvenor House;,36,North Lane,,Aldershot,GU12 4QG,00845H87,2000027411403,,1/10/2026,E,
"Unit 4, Orpheus House",,,,Reading,RG7 8TA,00845H86,2000011379722,,20/9/2026,E,
SEASON ELECTRONICS LTD,UNIT 600,NEST BUSINESS PARK,,HAVANT,PO9 5TL,00845H87,2000027401869,,1/1/2027,E,
The Roundhouse,25,Church Street,,MELKSHAM,SN12 6LS,04044H17,2000006126479,768,2/10/2027,E,
,290,Shields Road,,Newcastle upon Tyne,NE6 1DX,0090002D,1591010778290,,1/10/2026,E,
,20,Hessary Drive,,PLYMOUTH,PL6 7DG,03801N12,2200010648703,33306,13/10/2026,E,
Westmoor Bakery,10,Armstrong Drive,,Newcastle Upon Tyne,NE12 7EB,0380102B,1591041685424,10090,1/8/2027,E,
Unit D,5,Parade,,Exmouth,EX8 1RS,03801110,2200040241059,1564,2/11/2025,E,
,168,Green Lane,,Birmingham,B36 0BU,00845N14,1425274100005,,19/7/2028,E,
,9-11,Beltinge Road,,Herne Bay,CT6 6DB,04811204,1900005178730,45278,2/10/2026,E,
,738,Oxford Road,,Reading,RG30 1EH,00900Q03,2000027372534,,18/7/2028,E,
,,"Milking Parlour,Oxen Park Farm",,Ilfracombe,EX34 9RG,04056N14,2200041108367,197979,3/10/2027,E,
,27,Spa Road,,HOCKLEY,SS5 4AZ,04807202,1012605194399,,12/7/2027,E,
,,Rope Walk,,Southampton,SO31 4HB,00845H86,2000027463777,,1/10/2027,E,
The Bell Inn,,Sapperton,,Cirencester,GL7 6LE,00900N14,1410066171004,,1/5/2026,E,
Lordswood Industrial Estate,,Revenge Road,,Chatham,ME5 8UD,00845071,1900032425772,,15/10/2026,E,
148,,HANSON LANE,,HALIFAX,HX1 5PQ,0084505A,2326532948012,,1/7/2027,E,
Bezzells Farm,,Woodrow Road,,MELKSHAM,SN12 7RE,04044H17,2000006144325,3366,1/2/2027,E,
,8,New Mills Road,,HIGH PEAK,SK22 1BT,00900414,1600000044940,,16/3/2026,E,
Conservative Working Mens Club,15,Queen Street,,Louth,LN11 9AU,0380202C,2371112630519,25323,3/1/2026,E,
Worcester Lodge,32,Castle Road,,CLEVEDON,BS21 7DE,00845N14,2200013194320,,1/5/2026,E,
,,21 Dodworth Road,,Barnsley,S70 6DW,0380102B,2331317440018,2273,6/10/2026,E,
,35,Andover Road,,Andover,SP11 9LU,03801H02,2000027768560,14085,7/10/2027,E,
"Unit 3, Empress Heights",,College Street,,Southampton,SO14 3LA,03801H02,2000056048905,7763,20/10/2026,E,
,4,Bridgewater Close,,Reading,RG30 1JT,00845H86,2000027371976,,4/7/2026,E,
,14,Dunlin Court,,BELLSHILL,ML4 3NH,03801D03,1800018777632,13072,1/12/2027,E,
Thorndike Medical Court,,Longley Road,,ROCHESTER,ME1 2TH,00845071,1900033424672,,25/9/2027,E,
,137a,Harrison Road,,LEICESTER,LE4 6NP,04817N14,1100039672650,111662,1/12/2025,E,
62a,,Front Street,,Stanley,DH9 0HU,0380102A,1591059072157,3927,7/11/2027,E,
C2,,Haviland Road,,Dorset,BH21 7RY,03801H02,2000021826784,1062,7/4/2026,E,
Shop,334,Wolseley Road,,Plymouth,PL2 2EA,03801N13,2200010287292,48027,2/11/2025,E,
,3,Flansham Lane,,Bognor Regis,PO22 6AA,04108H48,2000019163709,,1/5/2026,E,
,Unit 2,The Courtyard,,Sutton Coldfield,B75 7BU,03801N12,1460001476681,8492,7/10/2026,E,
,2,Hollandhurst Road,,COATBRIDGE,ML5 2EG,03801D01,1800015728456,5965,16/10/2027,E,
,3,Boileau Parade,,LONDON,W5 3AQ,03801H02,2000000784696,1934,13/5/2026,E,
Wheatsheaf Hotel,,Mill Lane,,St Helens,WA9 4HN,00900D04,1300035397934,,25/3/2026,E,
,14,Fancy Road,,POOLE,BH12 4QZ,03801H07,2000055403147,13378,1/4/2027,E,
,,LITTLE JOHNS FARM,,Reading,RG30 1LQ,04044H17,2000010484922,,13/3/2028,E,
,67,Middlewich Road,,Sandbach,CW11 1HU,03801D01,1300008234238,14290,12/5/2026,E,
Unit 12 Faygate Business Ctr,,Faygate Lane,,Horsham,RH12 4DN,04158202,1900005334025,20879,15/10/2026,E,
Unit 1a,,Watchmoor Road,,Camberley,GU15 3AJ,03801H02,2000004714586,39678,19/10/2027,E,
,155,Whiteladies Road,,Bristol,BS8 2RF,04042210,2200016373609,7226,3/10/2026,E,
,,Chapel Street,,Cwmbran,NP44 1DL,03801N14,2199992254825,5508,7/7/2026,E,
,70,Victoria Street,,PAIGNTON,TQ4 5DS,00845N14,2200030092903,,1/10/2026,E,
"Unit 13-14, HAWES VIEW INDUSTRIAL ESTATE",,"Haws View Industrial Estate, Park Road",,BARROW-IN-FURNESS,LA14 4TN,03801004,1610005785551,,17/11/2017,E,
,105,Coventry Street,,BIRMINGHAM,B5 5NY,00845127,1441003077004,,1/8/2027,E,
,17,VICTORIA RD,,BARNOLDSWICK,BB18 6UN,0380102C,2316054611016,15196,20/10/2026,E,
Oakleigh,,Wragmire Bank,,Carlisle,CA4 0BL,04811004,1610031581687,2668,28/10/2027,E,
,123,Dyke Road,,Hove,BN3 1TJ,04812204,1900006386283,40757,18/5/2026,E,
Vorwerk House,6,Ashville Way,,WOKINGHAM,RG41 2PL,03801H04,2000054687938,22771,29/5/2026,E,
Bow Triangle Business Centre,5,Eleanor Street,,LONDON,E3 4UR,03801201,1200038996184,7986,2/11/2025,E,
